TestName,URL,description,duration,adaptive_support,remote_support,TestType
Entry Level Sales Sift Out 7.1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,"The Entry Level Sales Sift Out 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer Swedish, Chinese Simplified, Finnish, English (USA), Portuguese (Brazil), French, Danish, Italian, Arabic, Dutch, French (Canada), Latin American Spanish, English International, Norwegian, German, Approximate Completion Time in minutes = 20 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this",20,No,Yes,K
Entry Level Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/,"The Precise Fit Entry Level Sales Roles Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer. Report Language Availability: English (USA) German, Italian, Chinese Simplified, Finnish, Danish, English (USA), English International, Latin American Spanish, French (Canada), French, Dutch, Norwegian, Swedish, Arabic, Approximate Completion Time in minutes = 20 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necess",20,No,Yes,A
Financial Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,"This solution is for mid-level financial institution positions that require Series 6/7 certification. Candidates answer multiple choice questions to measure financial professional aptitude, learning potential, achievement orientation, conscientiousness, persistence and planfulness, self leadership, interpersonal leadership, sales focus and customer focus. Approximate Completion Time in minutes = 35 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we are, how you can contact us, and how we proc",20,No,Yes,A
General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,"Our General Entry Level – Data Entry 7.0 solution is designed for entry-level positions that include entering data into computers or data management systems. This solution measures speed and accuracy at typing text and numbers into forms and predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and approaching work in a thorough and precise manner. This solution can be used across all industries with entry-level positions. Example titles include, but are not limited to: Accounting Clerk, Accounts Receivable Clerk, Administrative Clerk, Clerical Aide, Clerical Assistant, Office Assistant, Office Services Specialist, Staff Assistant. Report Language Availability: English (USA) Approximate Completion Time in minutes = 24 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuri",20,No,Yes,P
Global Skills Assessment,https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/,"The Global Skills Assessment (GSA) is an assessment used to measure 96 discrete skills/behaviors. These 96 skill scores are directly aligned to the most discrete level of SHL’s Universal Competency Framework (UCF). The GSA measures self-reported behaviors an individual currently engages in. A person’s skills (sets of behavior) are malleable and may change over time. SHL utilizes GSA scores to understand what the participant reports they can do today. Indonesian, Italian, Swedish, Thai, Portuguese (Brazil), French (Canada), Chinese Simplified, Danish, Finnish, French, German, English International, Japanese, Korean, Latin American Spanish, Norwegian, Polish, Romanian, Spanish, Vietnamese, Chinese Traditional, Arabic, English (USA), Dutch, Portuguese, Turkish, Approximate Completion Time in minutes = 16 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text file",20,No,Yes,P
HTML/CSS (New),https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,"Multi-choice test that measures the knowledge of HTML to create a user interface and CSS to stylize it. Approximate Completion Time in minutes = 12 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we are, how you can contact us, and how we process personal data in our Policy. We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Multi-choice test that measures the knowledge of HTML to create a user interface and CSS",20,No,Yes,C
Java 8 (New),https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,"Multi-choice test that measures the knowledge of Java class design, exceptions, generics, collections, concurrency, JDBC and Java I/O fundamentals. Approximate Completion Time in minutes = 18 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we are, how you can contact us, and how we process personal data in our Policy. We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Multi-choice test that measures the knowledg",20,No,Yes,C
JavaScript (New),https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,"Multi-choice test that measures knowledge of programming in the JavaScript language and its application in front-end development. Approximate Completion Time in minutes = 9 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we are, how you can contact us, and how we process personal data in our Policy. We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Multi-choice test that measures knowledge of programming in the",20,No,Yes,C
Manager 8.0+ JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,"The Manager 8.0+ Job-Focused Assessment is designed for candidates applying to their first leadership positions and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Inductive Reasoning. It measures behaviors that underlie successful performance in first-line manager roles across a wide range of industries. It is most relevant to positions that supervise salaried employees. This JFA includes the Reskilling Potential Scale and the Management Potential Scale. •The Reskilling Potential scale measures tendency to learn from experiences in a way that supports professional success. •The Management Potential scale measures the potential for managerial success across industry type and functional area. Approximate Completion Time in minutes = 44 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites t",20,No,Yes,P
Manual Testing (New),https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/,"Multi-choice test that measures the knowledge of the software testing life cycle, testing tools and techniques, design of test cases and generation of test reports. Approximate Completion Time in minutes = 10 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we are, how you can contact us, and how we process personal data in our Policy. We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Multi-choice test that meas",20,No,Yes,C
Marketing (New),https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,"Multi-choice test that measures the conceptual knowledge of marketing principles, market research, consumer behavior, brand management, sales management, channel management and advertisement management. Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Approximate Completion Time in minutes = 9 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we are, how you can contact us, and how we process personal data in our Policy. We recommend upgrading to a modern br",20,No,Yes,P
Microsoft Excel 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/,"The Microsoft Excel 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the following topics: Applying Formulas and Functions, Creating and Analyzing Data, Formatting Cells, Data, and Content, Managing Workbooks and Worksheets, Presenting Data Visually, Printing and Views, and Sharing, Maintaining, and Securing Workbooks. Approximate Completion Time in minutes = 30 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we a",20,No,Yes,A
Microsoft Excel 365 (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-new/,"The Microsoft Excel 365 simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the following topics: Applying Formulas and Functions, Creating and Analyzing Data, Formatting Cells, Data, and Content, Managing Workbooks and Worksheets, Presenting Data Visually, Printing and Views, and Sharing, Maintaining, and Securing Workbooks. Approximate Completion Time in minutes = 35 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we are, how you c",20,No,Yes,A
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,"The SHL Occupational Personality Questionnaire, the OPQ32, is one of the most widely used and respected measures of workplace behavioural style in the world. It sets a high standard of measurement excellence, providing HR professionals and business managers with relevant and accurate information to make fast and well-informed people decisions. The OPQ32 provides a clear framework for understanding the impact of personality on job performance. It is internationally recognised for its accuracy of assessment. Over 90 independent validation studies have been conducted on the OPQ over a period of 25 years, across 20 countries and 40 industries, providing concrete evidence of its power to predict performance in the workplace. Professional Individual Contributor, Supervisor, Mid-Professional, Front Line Manager, General Population, Graduate, Manager, Director, Executive, English International, French (Canada), Portuguese, Chinese Simplified, Chinese Traditional, French (Belgium), French, Polish, Slovak, Czech, Danish, Flemish, Dutch, Estonian, Finnish, German, Greek, Hungarian, Icelandic, Indonesian, Italian, Japanese, Korean, Latvian, Lithuanian, Norwegian, English (USA), Arabic, Portuguese (Brazil), Spanish, Latin American Spanish, Romanian, Russian, Serbian, Swedish, Thai, Turkish, Malay, Vietnamese, Approximate Completion Time in minutes = Untimed, approx. 25 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described ",20,No,Yes,P
OPQ Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/,"This OPQ (Occupational Personality Questionnaire) report provides a detailed analysis of an individual's leadership potential. It is based on SHL's leading edge Leadership Model, providing a competency based approach to leadership. Director, Executive, Manager, Mid-Professional, Professional Individual Contributor, Dutch, English International, English (USA), Romanian, Portuguese, French, German, Swedish, Chinese Simplified, Portuguese (Brazil), Japanese, Polish, Russian, Latin American Spanish, We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we are, how you can con",20,No,Yes,P
OPQ Team Types and Leadership Styles Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report,"This OPQ (Occupational Personality Questionnaire) report is based on Belbin's team types and Bass's leadership and reporting styles. Belbins team types: individual preferred role when working in ateam. Bass's leadership and reporting styles: individuals preferred leadership styles and likely style of behaviour as a direct report. Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Flemish, French (Belgium), Portuguese (Brazil), Danish, Dutch, Finnish, French (Canada), French, Italian, Latin American Spanish, Norwegian, Portuguese, English International, English (USA), Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strict",20,No,Yes,P
Professional + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,"Our Professional + 7.0 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services. Report Language Availability: English (USA). Approximate Completion Time in minutes = 51 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn ",20,No,Yes,A
Professional + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,"Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services. Chinese Traditional, Dutch, Chinese Simplified, French, English International, Swedish, Italian, Norwegian, Danish, English (USA), French (Canada), Portuguese (Brazil), Spanish, German, Portuguese, Finnish, Approximate Completion Time in minutes = 56 We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different",20,No,Yes,A
Python (New),https://www.shl.com/solutions/products/product-catalog/view/python-new/,"Multi-choice test that measures the knowledge of Python programming, databases, modules and library. Approximate Completion Time in minutes = 11 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we are, how you can contact us, and how we process personal data in our Policy. We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Multi-choice test that measures the knowledge of Python programming, databases, modules and",20,No,Yes,C
Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,"The Sales Representative solution is for entry-level sales positions in which employees proactively sell products to customers and have their pay and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer. Potential job titles that use this solution are: Sales Representative, Sales Associate, and Sales Clerk. Multiple configurations of this solution are available. Approximate Completion Time in minutes = 29 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.Thi",20,No,Yes,K
Search Engine Optimization (New),https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/,"Multi-choice test that measures the knowledge on the concepts of need of SEO, SEO planning, SEO strategies, SEO software, tools and exchanging links. Approximate Completion Time in minutes = 12 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we are, how you can contact us, and how we process personal data in our Policy. We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Multi-choice test that measures the knowle",20,No,Yes,C
